HTS,1,,,,,,,,,,,,,,,,
HDC,平成22年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
HD,７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（20大都市再掲）・性別,,,,,,,,,,,,,,,
,Table 3.,"Population of 15 years of age and over by occupation  (major groups), Japan, each prefecture and the 20 major cities, by sex, FY2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HT,都道府県 Prefecture,総　数　Total,就業者総数　Employed,,,,,,,,,,,,,無　職　Non-employed,不　詳　Not stated
,,,,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業,,
HB,総　数 Total,,,,,,,,,,,,,,,,
HS,５６　川　　　崎,1215104,628226,14409,127933,148965,93943,66540,6779,2623,55607,18681,24415,32828,35503,389807,197071
HS,５７　相　模　原,616273,326675,6338,54514,65514,45013,38028,5929,2036,43298,11411,15254,22177,17163,207642,81956
HS,５８　新　　　潟,704677,385593,8686,56013,71890,58406,45334,6724,13305,49572,14900,19573,25638,15552,284604,34480
HS,５９　静　　　岡,618138,354115,8255,45353,66928,53745,40813,5452,9740,54280,12721,19016,24036,13776,247066,16957
HS,６０　浜　　　松,672950,390000,8819,53863,68306,50999,42248,6550,16171,79638,12487,17044,26377,7498,266474,16476
HS,６１　名　古　屋,1924669,1064793,28963,154174,213790,173242,123454,14389,2820,129958,33170,40203,66725,83905,685776,174100
HS,６２　京　　　都,1270634,663418,16756,103302,114785,100041,90686,9633,5332,78601,19910,21811,37115,65446,474634,132582
HS,６３　大　　　阪,2264938,1098780,28498,149552,214956,169385,143722,13038,1083,128108,33817,40614,71682,104325,812036,354122
HS,６４　　　堺　　,715384,357280,8334,51476,68841,53709,41044,6436,1768,45788,12929,15602,21874,29479,279744,78360
HS,６５　神　　　戸,1316667,647389,16688,107750,134117,97958,80775,10807,5050,68511,21818,20711,41338,41866,558523,110755
