,,,,,,表３　15歳以上人口，職業,（大分類）・都道府県（15大都市再掲）・性別,,,,,,,
"総　数
",,,,,,,,,,,,,,"平成17年度   
  "
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職,不　　詳
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,,
,,,職業従事者,,,,,,,,,,,
"全　  　　　国 
",108767338,60733598,8364593,1455933,11835285,8869375,6054722,1049616,2929271,2064464,17036178,1074161,44419901,3613839
16　富　　　山,454638,320498,34356,12496,33764,45010,14041,6394,15324,17525,139673,1915,127767,6373
17　石　　　川,478669,329952,36948,12855,36360,51122,18659,9353,14826,18203,127998,3628,136262,12455
18　福　　　井,331235,233554,25255,9641,25104,32152,11980,5233,12709,11485,98481,1514,91559,6122
19　山　　　梨,362364,253161,27648,9298,28574,33665,16326,6127,21219,10874,97203,2227,101684,7519
20　長　　　野,892759,643488,70104,23691,71114,84519,37210,10610,69413,27864,243916,5047,239207,10064
21　岐　　　阜,849462,599523,64860,22523,68676,86647,31144,13842,23259,30857,254272,3443,240914,9025
22　静　　　岡,1561135,1124545,122917,38762,115662,148264,59969,28817,56167,63302,480705,9980,412429,24161
23　愛　　　知,3020713,2156845,248772,66061,254262,335450,111238,44767,54456,111636,897012,33191,747608,116260
24　三　　　重,755474,520928,51914,17081,61271,62366,24614,12814,27819,29278,226221,7550,218486,16060
25　滋　　　賀,561862,393681,49473,12866,49517,50890,19390,9536,17036,18011,161474,5488,153692,14489
26　京　　　都,1075069,704678,94559,25005,83946,119570,50015,23156,21477,36850,231245,18855,309354,61037
27　大　　　阪,3578529,2280106,272592,82133,290844,444768,152886,52876,17829,127944,781438,56796,1084409,214014
28　兵　　　庫,2234840,1471317,188813,55604,193907,246017,84318,39288,41528,74929,514397,32516,677030,86493
29　奈　　　良,571437,375493,53751,16288,56851,68748,20782,10077,13377,15158,113546,6915,184333,11611
30　和　歌　山,413107,271158,28319,9193,31002,37904,15598,7107,28176,14522,94791,4546,134412,7537
31　鳥　　　取,245753,166549,17953,6634,18600,21920,8909,5708,18310,8982,57400,2133,73305,5899
32　島　　　根,300873,205241,21711,7925,24250,26153,10174,5807,22492,11556,73974,1199,91010,4622
33　岡　　　山,790829,527082,55912,17420,56705,73925,23674,11111,35537,32205,212484,8109,238016,25731
34　広　　　島,1170652,794389,91343,29682,92846,125272,40742,27432,34095,46902,293815,12260,335489,40774
35　山　　　口,597706,400476,41414,14135,43334,50307,17824,14763,28517,25472,160889,3821,186183,11047
36　徳　　　島,329242,208409,23197,7319,20822,27866,10971,5403,20479,11582,76962,3808,112969,7864
37　香　　　川,412077,276374,29792,11185,32340,43093,14280,7347,20998,16487,98415,2437,127264,8439
38　愛　　　媛,586457,380953,40568,13080,41214,53033,19941,8233,37870,23287,139080,4647,187724,17780
39　高　　　知,320858,198190,21348,7626,19861,27911,11675,5288,27155,11904,63117,2305,113182,9486
40　福　　　岡,2016210,1280586,151483,47258,150992,236921,77945,41688,46954,81888,422079,23378,634856,100768
41　佐　　　賀,339241,231473,24524,8859,25541,31311,12222,6612,26273,13056,82080,995,104442,3326
42　長　　　崎,578473,376119,41243,13192,38404,50128,23128,18996,37970,25176,125865,2017,195553,6801
43　熊　　　本,729147,474472,51761,16496,49664,66716,28386,14673,56734,27370,157307,5365,239787,14888
44　大　　　分,482670,318237,33732,11527,34739,42683,17476,9617,30423,18859,116150,3031,154950,9483
45　宮　　　崎,454010,299676,31597,10625,30142,40385,16801,9575,39673,17515,100735,2628,144561,9773
46　鹿　児　島,689578,447597,48810,14513,52180,61239,27005,12457,56280,28323,144419,2371,234411,7570
47　沖　　　縄,534857,318182,36561,11508,35575,44392,25098,14499,24590,22065,98916,4978,186719,29956
15大都市（再掲）, ,,,,,,,,,,,, , 
,,,,,,,,,,,,,,
50　 東京都の区部  ,3652389,2276668,375573,113362,363756,452844,178015,49839,6027,115767,544598,76887,792493,583228
51　札　　　幌,766767,481327,65448,19261,71498,97525,34396,17957,2281,31280,126695,14986,220035,65405
52　仙　　　台,425758,266943,40475,12260,39039,60698,17766,8492,3171,14476,65553,5013,123558,35257
 53　さ い た ま,498780,350520,53389,13730,62163,73486,19477,8738,3625,15079,90344,10489,126971,21289
54　千　　　葉,391799,257046,40071,10714,45293,48974,14988,7832,2158,12930,65196,8890,104562,30191
55　横　　　浜,1531782,1051387,192031,41481,178043,189975,61049,22525,6362,50413,281158,28350,388759,91636
56　川　　　崎,589696,426185,79024,13049,66868,71104,24745,6295,2315,19077,111799,31909,136968,26543
57　静　　　岡,290086,204122,22701,7493,22710,36204,11508,4573,6864,12458,76354,3257,80962,5002
58　名　古　屋,927314,629539,81557,24802,80519,133345,41847,13122,2322,33820,205483,12722,240255,57520
59　京　　　都,595503,378639,54915,13867,42447,71487,32821,8851,4308,20769,116863,12311,168355,48509
60　大　　　阪,1073537,639066,73975,23189,72132,133859,55232,12407,1021,36712,218231,12308,340571,93900
61　神　　　戸,605615,375622,55551,14778,55644,69980,26001,9990,3608,21215,108305,10550,194480,35513
62　広　　　島,466843,320329,41590,12577,44513,64348,18967,8986,4201,18778,99658,6711,119951,26563
63　北　九　州,394848,243850,28251,8498,27187,40694,13837,7415,2657,16791,93584,4936,134031,16967
64　福　　　岡,567673,358172,51205,14963,48925,86615,28235,8607,3339,19727,85819,10737,149005,60496
注：1)　「国勢調査」平成17年10月１日現在の日本人人口（按分済み）,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,
　　4)　15大都市の数値は、総人口から外国人人口を引いたものである。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,表３　15歳以上人口，職業,（大分類）・都道府県（15大都市再掲）・性別,,,,,,,
"　女
",,,,,,,,,,,,,,"平成17年度   
  "
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職,不　　詳
,,,専 門 的・,管　理　的,事務従事者  ,販売従事者  ,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,,
,,,職業従事者,,,,,,,,,,,
"全　  　　　国 
",56085985,25412366,3992033,172176,7336520,3336413,4019403,56821,1198655,94448,4776699,429198,29435235,1238384
01　北　海　道,2591409,1106525,167593,8009,272514,153746,192583,3931,79968,5908,201636,20637,1421929,62955
02　青　　　森,657529,302521,43526,2010,64430,38116,47323,1160,41670,1099,60616,2571,349408,5600
03　岩　　　手,624769,300524,43107,1879,66528,34833,45049,430,40874,932,65907,985,321286,2959
04　宮　　　城,1045028,460365,67337,3802,128894,64364,71357,1324,24949,1835,91678,4825,562550,22113
05　秋　　　田,532445,237419,33839,1273,55015,28249,39390,404,23264,630,54016,1339,291791,3235
06　山　　　形,544695,263903,35598,1645,63361,31110,40148,504,25507,805,63836,1389,278385,2407
07　福　　　島,918087,427878,60374,2789,100524,50564,64619,918,39748,1318,103519,3505,480098,10111
08　茨　　　城,1271329,581197,81035,3205,155662,70733,87387,1273,45029,2390,126366,8117,675960,14172
09　栃　　　木,862674,412384,57825,2430,105187,50268,63963,838,29727,1494,96658,3994,440232,10058
10　群　　　馬,870009,413091,61142,2412,108469,48995,64758,803,27142,1561,94979,2830,451714,5204
11　埼　　　玉,2978461,1368794,197078,7183,440628,181425,194591,3901,31400,6180,274048,32360,1564428,45239
12　千　　　葉,2588014,1160232,174962,6942,374260,161483,182189,3162,45682,5018,178656,27878,1372274,55508
13　東　　　京,5488404,2411912,409944,26502,871665,336445,370610,6334,7910,7556,298289,76657,2662783,413709
14　神　奈　川,3713096,1646736,274935,10826,547871,237363,261576,4247,15191,6905,239060,48762,1984912,81448
15　新　　　潟,1086406,523228,73743,2712,133669,62663,82310,806,36650,2072,125378,3225,556733,6445
16　富　　　山,497796,250564,39250,1307,68768,30304,37306,408,8993,1067,61824,1337,244476,2756
17　石　　　川,521865,261855,41453,1402,73021,32941,42149,403,8450,892,58439,2705,254443,5567
18　福　　　井,359395,183242,28044,986,50058,20654,27549,217,7631,526,46491,1086,173837,2316
19　山　　　梨,382405,184358,27584,1136,48773,21927,30086,295,16196,501,36402,1458,194313,3734
20　長　　　野,955976,486733,66807,2510,116939,52120,75945,590,58398,1737,108198,3489,464610,4633
21　岐　　　阜,918523,446511,63139,2399,123754,53511,70665,886,15714,1623,112505,2315,467799,4213
22　静　　　岡,1632304,821899,107273,4580,221246,102402,124795,1751,42648,3405,207321,6478,798548,11857
23　愛　　　知,3025877,1467629,205986,8366,435071,182786,220651,2924,47046,6474,336650,21675,1509697,48551
24　三　　　重,814276,380916,56503,2129,102937,47276,60508,591,16101,1538,88143,5190,425759,7601
25　滋　　　賀,585184,273214,44016,1380,74651,33896,39157,442,9306,862,65906,3598,306332,5638
26　京　　　都,1182606,523475,87819,3905,145373,74409,85879,1283,12793,1634,97530,12850,619663,39468
27　大　　　阪,3857677,1600417,256507,12263,521117,225837,258920,2796,6645,5126,273714,37492,2136319,120941
28　兵　　　庫,2480755,1043125,175443,7279,311631,144691,166887,2289,22242,3189,187514,21960,1392759,44871
29　奈　　　良,644346,254554,47252,2090,76273,35601,38203,457,7093,800,42147,4638,383276,6516
30　和　歌　山,475247,204634,32999,1250,51607,26424,33457,369,21129,631,33620,3148,266255,4358
31　鳥　　　取,272670,135323,21759,946,32431,15374,20813,214,14492,343,27301,1650,134715,2632
32　島　　　根,336426,160589,26958,914,40941,18620,27182,320,14650,571,29492,941,173294,2543
33　岡　　　山,875860,396849,68101,2435,104207,47887,61604,693,23959,1314,81297,5352,463092,15919
34　広　　　島,1275868,587874,99752,4228,168748,78095,94353,1425,25134,2112,105466,8561,665736,22258
35　山　　　口,686289,309053,52102,1961,80778,41340,53043,794,20273,1259,54945,2558,371954,5282
36　徳　　　島,370833,162372,29958,1313,40294,19447,25740,288,15645,408,26480,2799,203308,5153
37　香　　　川,454935,210319,35684,1520,60958,25703,31833,368,13903,572,38217,1561,240895,3721
38　愛　　　媛,674555,294061,47480,1692,76350,35814,49230,366,25537,831,53467,3294,369789,10705
39　高　　　知,370286,170500,31335,1216,40429,21930,29205,324,19031,438,24758,1834,193751,6035
40　福　　　岡,2293389,1000612,173969,7289,290171,144385,165322,2122,33120,3769,163598,16867,1231263,61514
41　佐　　　賀,391963,189765,31646,1257,45150,23411,30711,439,19521,565,36358,707,200528,1670
42　長　　　崎,678690,300634,53710,1854,74642,40587,55878,795,22897,1038,47753,1480,374579,3477
43　熊　　　本,842511,395226,68597,2567,95364,48691,64489,893,41127,1174,68278,4046,438484,8801
44　大　　　分,555388,250191,42376,1655,61100,33128,42751,422,20169,895,45469,2226,299880,5317
45　宮　　　崎,526775,250911,40134,1486,59824,29407,40187,476,28733,787,47917,1960,270035,5829
46　鹿　児　島,806634,359190,61230,2010,86411,43672,61962,514,36744,1327,63738,1582,442878,4566
47　沖　　　縄,566326,239062,45129,1232,68826,33786,45090,632,8624,1337,31119,3287,308485,18779
15大都市（再掲）, ,,,,,,,,,,,, , 
,,,,,,,,,,,,,,
50　 東京都の区部  ,3735629,1660649,273732,21667,617543,233145,249850,4420,1979,4853,199856,53604,1735091,339889
51　札　　　幌,873933,356523,60039,2794,106136,55124,61071,1427,1204,1984,55461,11283,470806,46604
52　仙　　　台,452749,193957,33103,1770,63921,29860,31857,751,2103,793,26107,3692,239016,19776
 53　さ い た ま,496033,221038,35858,1448,79260,31203,31016,663,2394,911,32338,5947,266829,8166
54　千　　　葉,392036,169369,28184,1048,59615,23875,25922,525,1557,763,22188,5692,209229,13438
