平成27年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（21大都市再掲）・性別,,,,,,,,,,,,,,,
"Table 3　Population 15 years of age and over, by occupation (major groups), each prefecture (regrouped for 21 major cities) and sex"

注：1)　「国勢調査」平成27年10月１日現在の日本人人口（不詳按分済み）。,,,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,,,
"Notes :1) “National Census (Statistics Bureau, Ministry of Internal Affairs and Communications)” Population in Japan as of October 1, 2015 (Unknown people have been proportionally distributed)"
2) Non-employed is total of "Unemployed" and "Population not in labour force" by census report.
3) Not stated is the one that the total of employed and the non-employed were subtracted from total.

,総　数　Total,　就業者総数　Employed,　　Ａ　管理的職業従事者,　　Ｂ　専門的・技術的職業従事者,　　Ｃ　事務従事者,　　Ｄ　販売従事者,　　Ｅ　サービス職業従事者,　　Ｆ　保安職業従事者,　　Ｇ　農林漁業従事者,　　Ｈ　生産工程従事者,　　Ｉ　輸送・機械運転従事者,　　Ｊ　建設・採掘従事者,　　Ｋ　運搬・清掃・包装等従事者,　　Ｌ　分類不能の職業,　無　職　Non-employed,　不　詳　Not stated
総　数 Total,,,,,,,,,,,,,,,,
２６　京　　　都,1184896,524751,5140,93119,130369,68267,95851,1471,7672,46403,1168,884,32930,41477,568323,91822
２７　大　　　阪,3969536,1629993,15736,283225,466803,207910,289674,3201,4846,116646,3442,2654,117192,118664,1901810,437733
２８　兵　　　庫,2507513,1057719,9991,197422,284396,141614,195882,2620,14917,91781,2454,1846,75705,39091,1288146,161648
２９　奈　　　良,632989,257027,2669,50521,70253,35746,47336,570,4709,21013,530,436,15054,8190,349609,26353
３０　和　歌　山,450402,199155,1711,34728,46401,24409,39676,464,15664,15252,451,365,14641,5393,237210,14037
３１　鳥　　　取,261327,128585,1146,24388,29432,14658,24599,324,8881,13221,248,333,7674,3681,125125,7617
３２　島　　　根,316138,153764,1274,30322,37646,17224,31508,331,8396,13863,343,406,8750,3701,154448,7926
３３　岡　　　山,868586,396911,3556,76232,95533,48058,74084,826,14354,39102,1034,955,25820,17357,438287,33388
３４　広　　　島,1266721,577617,5564,110944,150249,75188,109754,1742,14091,50266,1616,1653,39241,17309,634075,55029
３５　山　　　口,650510,285108,2620,55631,69452,36475,59707,1264,10937,22188,917,997,19861,5059,348745,16657
３６　徳　　　島,350829,154642,1577,32360,36933,17864,28708,356,10574,12254,229,375,8793,4619,181713,14474
３７　香　　　川,440516,199961,1973,38257,53666,23692,35813,442,8138,17855,440,550,13763,5372,221574,18981
