平成12年度,人口動態職業・産業別統計（人口動態統計特殊報告）
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（13大都市再掲）・性別
注：1)　「国勢調査」平成12年10月１日現在の日本人人口（按分済み）。
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,
,,,職業従事者,,,,,,,,,,
総数
０３　岩　　　手,628965,316334,41383,2138,70102,35048,40463,376,48464,1118,77015,227,311890
０４　宮　　　城,1029215,468318,61660,4030,134115,65425,61909,1321,28545,2210,104362,4740,551967
０５　秋　　　田,542902,250398,32441,1400,58156,30208,34605,373,25493,795,66595,333,291980
０６　山　　　形,548129,273700,32979,1927,67172,31474,34088,445,28612,968,75740,294,273760
０７　福　　　島,917608,444496,55967,3273,105512,51861,56558,759,46781,1615,120237,1933,470035
０８　茨　　　城,1260394,587574,73880,3630,161125,71240,77805,1122,53473,2663,137216,5421,666165
０９　栃　　　木,849451,416399,52585,2823,107265,49378,59200,782,34051,1643,105914,2758,429738
１０　群　　　馬,863827,416134,55606,3006,111044,47832,57241,729,30394,1802,106559,1921,445438
１１　埼　　　玉,2907673,1339420,177575,8176,443994,182039,166229,3269,36425,6790,289430,25495,1540608
１２　千　　　葉,2507420,1137546,159816,7912,378786,160265,160913,2873,51545,5505,187633,22298,1341501
１３　東　　　京,5239805,2447985,398645,31314,886179,358542,352417,6350,8463,8833,327360,69881,2636525
１４　神　奈　川,3558835,1565487,247487,12473,542931,233279,223998,3917,16836,7413,249542,27611,1951473
１５　新　　　潟,1089479,534795,67957,3157,139850,63676,72296,755,38630,2425,144005,2045,552844
１６　富　　　山,500343,257426,36711,1420,72320,31281,32954,326,9343,1274,71208,588,242195
１７　石　　　川,519751,266417,39202,1722,75262,33892,38117,335,9060,1179,65937,1712,251690
１８　福　　　井,358305,187838,25692,1099,51624,21061,24525,157,8784,585,53849,462,169951
１９　山　　　梨,379240,185398,24940,1172,51026,22104,26923,253,18058,592,39694,636,192891
２０　長　　　野,955201,500435,60123,2812,123767,52256,66894,487,63983,2112,126142,1860,453453
２１　岐　　　阜,915182,451433,57501,2638,125354,54124,62184,778,17263,1748,129019,823,462572
２２　静　　　岡,1611205,825379,96675,4959,225823,104720,112048,1444,48726,3729,223352,3902,779921
２３　愛　　　知,2940126,1446688,186783,9425,437159,186912,195896,2436,52190,7182,358749,9956,1481767
